Adelpha_bredowii_NW107_16
Amauris_ellioti_NW86_5
Amnosia_decora_NW101_1
Anetia_briarea_NW152_6
Biblis_hyperia
Brintesia_circe
Calisto_obscura_DR005
Charaxes_castor_NW78_3
Cithaerias_pireta
Consul_fabius_NW109_16
Cymothoe_caenis_NW102_16
Cyrestis_thyodamas_NW100_11
Danaus_plexippus_NW108_21
Discophora_necho
Euploea_camaralzeman_NW70_8
Euptychoides_castrensis
Hamadryas_februa_NW62_3
Heliconius_hecale_NW70_6
Heteronympha_merope
Hypanartia_paullus
Idea_leuconoe_NW84_14
Lachnoptera_anticlia_NW103_16
Lethe_minerva
Libythea_celtis_NW71_1
Libytheana_carinenta_NW162
Libytheana_terena
Lycorea_halia_NW122_19
Lycorea_ilione_B_17_37
Lymanopoda_rana
Melanitis_leda_EU141330
Melitaea_cinxia_NW73_14
Metamorpha_elissa_NW87_2
Morpho_peleides_NW66_5
Neonympha_aureolata_DNA96_019
Parantica_aspasia_NW112_8
Parantica_luzonensis_NW118_17
Pronophila_thelebe
Tellervo_zoilus_QL5
Terinos_atlita_NW134_9
Timelaea_albescens_NW97_8
Tirumala_limniace_NW156_9
